Dutch, English
het, raam window
toch, after all
gaan zitten, sit down
vegetarische (vegetarisch), vegetarian
de menukaart, menu
alvast, in the meantime
de dagschotel ,today's special
te, to
kiezen, choose
het mineraalwater, mineral water
eet smakelijk, bon appetit
ik heb dorst, I'm thirsty
het, mes knife
de dorst, thirst
de vork, fork
mij, me
momentje (het moment), one moment
alleen, only / just
het hoofdgerecht, main course
de lepel, spoon
ik heb honger ,I'm hungry
halen, fetch
de honger, hunger
beetje, a little
het voorgerecht, starter
moeilijk, difficult
misschien, perhaps
het gaat wel, it's okay
het nagerecht, dessert
de soort, kind
de mosterdsoep, mustard
soup de paella, paella
de mosterd, mustard
oud (houden) ,van like
de soep, soup
de mosselen, mussels
erg, very
proef (proeven), try
als ,as
de biefstuk, steak
een beetje, abit
frietjes (het frietje), chips
vet, greasy / rich
eh, um
het toetje, dessert
het ijs, ice cream
vruchten (de vrucht), fruit
de chocola, chocolate
de slagroom, cream
zonder, without
de rekening, the bill
Laat de rest maar zitten, that's fine / keep the change
laten, leave
de rest, the rest
dank u, thank you
de avond, good evening
normaal, usually
soms, soms
groter (groot), taller
de kleur, the colour
wat voor, what kind?
het model, the mode
lichte (licht), light
laag, layer
verschillende (verschillend), different
merken (het merk), to notice
probeert, tries
proberen, trying
ze, she or them
allebei, both
maar even, just for a while
ergens, Somewhere
passen, try on
paskamers (de paskamer), changing rooms
zitten, fit
beter, better
dan, than
die, that
hem, it
wijd, wide
kleinere (klein), Smaller
het spijt me, i'm sorry
kleinste (klein), smallest
dit, this
eventueel, if necessary
ruilen, exchange
binnen, within
de bon, receipt
T-shirts (het T-shirt), t-shirt
liggen, are (lie)
allerlei, all kinds of
wit, white
zwart, black
roze, pink
groen, green
blauw, blue
zo, so
beslissen, decide
staat me het best (staan), suits me best
het best (goed), best
pinnen, pay by card
kleuren, colours
wit, white
zwart, black
grijs, grey
rood, red
blauw, blue
geel, yellow
groen, green
bruin, brown
paars, purple
roze, pink
oranje, orange
donkerblauw, dark blue
donkerbruin, dark drown
lichtgeel, light green
lichtgroen, light green
effen, solit
geruit, checkered
gebloemd, flowered
gestreept, striped
